index,nlipktrlsm,tahuntrlsm,kdjektrlsm,jalur,llsketrlsm,toefltrlsm,kursitrlsm,jcutitrlsm,stwsdtrlsm,nmpstmspst,preditrlsm,tepat_waktu
528,1.0,2013.0,2,3,7201.0,507.5,77.0,0.0,0.0,2,4,True
1632,2.0,2014.0,1,4,7789.0,400.0,131.0,0.0,0.0,1,4,True
59,3.0,2011.0,2,4,6255.0,430.0,6.0,0.0,0.0,1,2,False
1555,1.0,2013.0,2,1,7730.0,400.0,98.0,0.0,0.0,6,4,False
1290,2.0,2012.0,2,2,6478.0,400.0,57.0,0.0,0.0,3,4,True
3391,3.0,2014.0,1,1,8251.0,450.0,77.0,0.0,0.0,5,2,False
3058,2.0,2011.0,1,1,6379.0,400.0,100.0,0.0,0.0,4,4,False
571,2.0,2013.0,1,4,7244.0,403.0,77.0,0.0,0.0,1,4,True
2058,2.0,2011.0,2,2,6095.0,400.0,55.0,0.0,0.0,3,4,False
1099,2.0,2014.0,1,3,7973.0,433.0,92.0,0.0,0.0,2,4,True
2087,2.0,2011.0,2,3,6124.0,453.0,74.0,0.0,0.0,2,4,False
3486,1.0,2009.0,1,0,5442.0,410.0,121.0,0.0,0.0,1,4,False
1069,2.0,2014.0,2,2,7943.0,420.0,82.0,0.0,0.0,3,4,True
942,2.0,2012.0,2,2,6855.0,407.0,84.0,0.0,0.0,3,4,False
821,3.0,2013.0,2,2,6997.0,400.0,15.0,0.0,0.0,3,2,True
3061,3.0,2012.0,2,1,6382.0,407.0,18.0,0.0,0.0,4,2,True
2694,2.0,2012.0,1,0,4557.0,450.0,77.0,0.0,0.0,5,4,False
2530,3.0,2010.0,2,1,5605.0,407.0,5.0,0.0,0.0,4,2,False
896,3.0,2013.0,1,1,7072.0,460.0,50.0,0.0,0.0,5,2,True
1591,3.0,2013.0,1,2,7766.0,453.0,17.0,0.0,0.0,3,2,False
2995,2.0,2012.0,2,2,6318.0,410.0,66.0,0.0,0.0,3,4,True
2705,2.0,2010.0,2,1,5226.0,417.0,77.0,0.0,0.0,6,4,True
3634,1.0,2012.0,2,0,4737.0,480.0,77.0,0.0,0.0,2,4,False
3757,2.0,2013.0,2,3,7477.0,453.0,78.0,0.0,0.0,2,4,False
3598,2.0,2012.0,2,0,4704.0,400.0,77.0,0.0,0.0,6,4,True
3279,3.0,2011.0,2,1,6051.0,400.0,45.0,0.0,0.0,5,2,True
3494,3.0,2010.0,2,4,5437.0,407.0,13.0,0.0,0.0,1,2,True
2560,1.0,2012.0,1,0,4423.0,430.0,77.0,0.0,0.0,6,4,False
2470,2.0,2008.0,1,0,5004.0,463.0,77.0,0.0,0.0,5,4,False
2189,1.0,2008.0,1,0,5797.0,400.0,80.0,0.0,0.0,1,4,False
2487,1.0,2009.0,1,0,5574.0,490.0,43.0,0.0,0.0,2,4,False
3152,3.0,2011.0,1,3,5925.0,460.0,31.0,0.0,0.0,2,2,True
458,3.0,2013.0,2,2,7131.0,400.0,77.0,0.0,0.0,3,2,True
1480,3.0,2009.0,2,0,5018.0,400.0,77.0,0.0,0.0,6,2,False
2768,2.0,2009.0,1,0,5297.0,423.0,77.0,0.0,0.0,1,4,False
95,1.0,2010.0,2,1,5646.0,400.0,55.0,0.0,0.0,6,4,False
2655,2.0,2012.0,1,1,4519.0,335.5,77.0,0.0,0.0,1,4,True
100,2.0,2010.0,1,1,5651.0,433.0,40.0,0.0,0.0,6,4,False
245,2.0,2012.0,2,0,4623.0,400.0,77.0,0.0,0.0,2,4,False
510,2.0,2013.0,2,3,7183.0,400.0,77.0,0.0,0.0,2,4,True
574,3.0,2013.0,1,4,7247.0,457.0,77.0,0.0,0.0,1,2,True
1558,2.0,2014.0,1,1,7733.0,417.0,87.0,0.0,0.0,6,4,True
3098,1.0,2010.0,2,1,5868.0,410.0,89.0,0.0,0.0,6,4,False
3536,2.0,2010.0,1,1,5482.0,417.0,152.0,0.0,0.0,4,4,True
3468,2.0,2010.0,2,3,5415.0,437.0,102.0,0.0,0.0,2,4,True
837,3.0,2013.0,2,3,7013.0,473.0,23.0,0.0,0.0,2,2,True
295,2.0,2012.0,1,0,4673.0,463.0,77.0,0.0,0.0,5,4,False
3395,3.0,2014.0,2,1,8255.0,460.0,77.0,0.0,0.0,5,2,False
758,2.0,2012.0,1,1,8341.0,440.0,78.0,0.0,0.0,5,4,False
1939,2.0,2012.0,2,0,4803.0,410.0,77.0,0.0,0.0,6,4,True
274,2.0,2012.0,2,0,4652.0,427.0,77.0,0.0,0.0,1,4,False
696,2.0,2013.0,2,1,7369.0,430.0,77.0,0.0,0.0,5,4,True
3528,3.0,2010.0,2,1,5473.0,400.0,20.0,0.0,0.0,4,2,True
2022,2.0,2012.0,1,0,4888.0,400.0,77.0,0.0,0.0,5,4,False
3036,2.0,2012.0,2,4,6359.0,400.0,88.0,0.0,0.0,1,4,True
1402,3.0,2012.0,2,4,6590.0,493.0,152.125,0.0,0.0,1,2,True
3004,1.0,2009.0,1,0,6343.0,500.0,82.0,0.0,0.0,2,4,False
1421,3.0,2012.0,2,1,6609.0,407.0,118.0,0.0,0.0,4,2,True
2267,2.0,2012.0,1,2,6709.0,427.0,60.0,0.0,0.0,3,4,False
2765,3.0,2010.0,2,3,5289.0,437.0,77.0,0.0,0.0,2,2,True
2021,2.0,2012.0,2,0,4887.0,400.0,77.0,0.0,0.0,5,4,False
1175,2.0,2014.0,2,1,8049.0,400.0,125.0,0.0,0.0,4,4,True
1461,3.0,2012.0,2,1,6641.0,400.0,152.125,0.0,0.0,5,2,True
3834,3.0,2014.0,2,2,8405.0,477.0,22.0,0.0,0.0,3,2,False
2378,2.0,2009.0,1,0,4914.0,423.0,77.0,0.0,0.0,6,4,True
3891,3.0,2015.0,1,4,8463.0,470.0,45.0,0.0,0.0,1,2,True
2096,2.0,2011.0,2,4,6132.0,433.0,85.0,0.0,0.0,1,4,False
3656,2.0,2012.0,1,0,4759.0,430.0,77.0,0.0,0.0,1,4,False
2658,0.5,2012.0,1,3,4517.0,400.0,77.0,0.0,0.0,1,4,True
2654,2.0,2012.0,1,1,4518.0,423.0,77.0,0.0,0.0,1,4,True
849,3.0,2012.0,2,4,7025.0,453.0,29.0,0.0,0.0,1,2,False
2749,1.0,2011.0,1,3,5272.0,460.0,77.0,0.0,0.0,2,4,True
3063,3.0,2012.0,2,1,6385.0,403.0,30.0,0.0,0.0,4,2,True
97,1.0,2010.0,1,1,5648.0,400.0,57.0,0.0,0.0,6,4,False
3324,3.0,2014.0,2,2,8184.0,400.0,77.0,0.0,0.0,3,2,False
